Graphlet,Enrichment,Z,p_value
"((0, 6), (0, 7), (6, 7))",13.650808749745787,48.785090857581096,0.0
"((2, 4), (3, 4), (5, 5))",13.083710399290823,73.34294863895967,0.0
"((2, 3), (2, 6), (3, 6))",13.061462600994215,168.42964815401663,0.0
"((1, 2), (1, 6), (3, 6))",12.213960287517185,37.0046739919494,9.631266607025968e-300
"((2, 2), (3, 6), (3, 6))",11.93138786361803,137.8362622025619,0.0
"((4, 7), (4, 7), (5, 5))",11.095864861681429,24.99294339943326,7.29473991958946e-138
"((0, 4), (0, 6), (5, 6))",10.654438049824304,29.87182880957414,4.5711977487068915e-196
"((0, 6), (0, 6), (6, 6))",10.633662948876449,110.26192253824075,0.0
"((1, 1), (1, 6), (1, 6))",10.22937299267961,48.801223127823384,0.0
"((1, 2), (1, 5), (3, 4))",10.034081604411998,54.85876885249957,0.0
"((0, 2), (0, 7), (3, 7))",9.297592645480238,32.31293516429891,4.603801617331795e-229
"((2, 3), (2, 3), (2, 3))",8.254102879853532,59.32234504789547,0.0
"((2, 3), (2, 5), (3, 4))",8.217439667437711,14.680956729012271,8.537725873333686e-49
"((1, 5), (1, 7), (4, 7))",7.20046957986741,15.50066848555906,3.4330162152434116e-54
"((0, 2), (0, 6), (3, 6))",6.776660854856851,117.86111312117583,0.0
"((1, 1), (1, 7), (1, 7))",6.490310907196342,9.637828314548587,5.534644493127972e-22
"((0, 4), (0, 4), (5, 5))",4.859172043560985,22.759166571136582,1.1643795900266053e-114
"((4, 4), (4, 5), (5, 5))",4.576721040680829,13.582503205252266,5.0858110119488536e-42
"((1, 4), (1, 4), (5, 5))",4.4887998953247505,10.150857618366391,3.284641204422911e-24
"((2, 6), (3, 5), (4, 6))",4.067195151466378,50.48759701450558,0.0
"((2, 2), (3, 4), (3, 5))",2.7959521733523514,34.25235010612432,4.0238048219278534e-257
"((1, 4), (1, 5), (4, 5))",2.3968368080517615,2.853162043663878,0.004328654262913574
"((1, 3), (1, 6), (2, 6))",2.330780095108119,23.7442031166956,1.261201719502899e-124
"((1, 3), (1, 7), (2, 7))",2.3097775356696233,13.323287862306811,1.6947629854451519e-40
"((0, 5), (0, 6), (4, 6))",2.2223839744666627,23.962219087682072,6.891792409500663e-127
"((2, 3), (2, 4), (3, 5))",2.079198152740206,27.70215382757712,6.577251722888651e-169
"((2, 7), (3, 5), (4, 7))",1.835435177114535,13.650270964193677,2.0112930585287106e-42
"((0, 2), (0, 5), (3, 4))",1.7760102166638365,15.79732730310931,3.2458925740482567e-56
"((1, 3), (1, 4), (2, 5))",1.755532371625054,8.223947388052995,1.9691249996428974e-16
"((1, 2), (1, 3), (2, 3))",1.6685341716174236,14.556075509756887,5.343881635600171e-48
"((0, 1), (0, 7), (1, 7))",1.59722237723774,4.933630585738696,8.071503418945744e-07
"((1, 2), (1, 4), (3, 5))",1.5499221978899054,8.519571878803497,1.6014419434219372e-17
"((0, 1), (0, 6), (1, 6))",1.519740220520019,11.774675549413054,5.271955080972312e-32
"((2, 4), (3, 5), (4, 5))",1.4373565679389722,3.2628596063582735,0.0011029414388303304
"((0, 2), (0, 4), (3, 5))",1.4061309819391326,11.869289868351926,1.709121980539425e-32
"((2, 6), (2, 6), (3, 3))",1.2592669093763418,29.626389171593473,6.833673296343168e-193
"((2, 7), (2, 7), (3, 3))",1.2245601957650707,7.093789740671539,1.304883375488238e-12
"((2, 5), (3, 5), (4, 4))",1.2232756741466113,4.957216603550144,7.151023902045744e-07
"((0, 5), (0, 7), (4, 7))",1.1463948182410533,1.629306423881308,0.10324816693817425
"((0, 4), (0, 5), (4, 5))",1.1415764243882893,0.7257700985427111,0.46797972050316095
"((1, 3), (1, 5), (2, 4))",0.9025017270202669,-7.562629369269699,3.950019290165122e-14
"((2, 2), (2, 3), (3, 3))",0.8050153085555531,-38.810222484277574,0.0
"((2, 4), (2, 5), (3, 3))",0.7411012646975823,-9.85124256487872,6.770173595223883e-23
"((1, 1), (1, 4), (1, 5))",0.7093240821199106,-8.00530416898232,1.1917173774127008e-15
"((1, 1), (1, 2), (1, 3))",0.7069744321274574,-24.95858799286684,1.7228711903254507e-137
"((1, 2), (1, 2), (3, 3))",0.63989350529575,-13.116892164178065,2.635219112244415e-39
"((0, 3), (0, 7), (2, 7))",0.6295340837962828,-18.488925094578327,2.5355839830302698e-76
"((0, 3), (0, 6), (2, 6))",0.5254448240222128,-99.89045029358603,0.0
"((0, 2), (0, 2), (3, 3))",0.46996256218453814,-102.63957264594548,0.0
"((0, 3), (0, 4), (2, 5))",0.4625314272201905,-21.33763175398799,5.0803588232768644e-101
"((1, 5), (1, 5), (4, 4))",0.452379973439743,-20.322243929544943,8.175281339023754e-92
"((0, 1), (0, 4), (1, 5))",0.43629346461678803,-51.04860565068293,0.0
"((0, 2), (0, 3), (2, 3))",0.3708064602051913,-153.01356186006728,0.0
"((1, 3), (1, 3), (2, 2))",0.18443088063541357,-161.72339549064378,0.0
"((0, 1), (0, 2), (1, 3))",0.11087352012781625,-310.46013894425585,0.0
"((0, 1), (0, 5), (1, 4))",0.0724244064999397,-153.91091405818608,0.0
"((0, 3), (0, 5), (2, 4))",0.07239712829234998,-347.6486427824981,0.0
"((0, 1), (0, 3), (1, 2))",0.07120671737010677,-335.8588112278166,0.0
"((1, 1), (1, 1), (1, 1))",0.059880454018550286,-160.85386401839358,0.0
"((0, 5), (0, 5), (4, 4))",0.04492006891262881,-201.37638711154352,0.0
"((0, 3), (0, 3), (2, 2))",0.028921820299487436,-1971.4629508182732,0.0
"((0, 1), (0, 1), (1, 1))",0.025405881860303275,-897.5530608932335,0.0
